"a_o","c_digo_municipio","municipio","c_digo_departamento","departamento","c_digo_etc","etc","poblaci_n_5_16","tasa_matriculaci_n_5_16","cobertura_neta","cobertura_neta_transici_n","cobertura_neta_primaria","cobertura_neta_secundaria","cobertura_neta_media","cobertura_bruta","cobertura_bruta_transici_n","cobertura_bruta_primaria","cobertura_bruta_secundaria","cobertura_bruta_media","tama_o_promedio_de_grupo","sedes_conectadas_a_internet","deserci_n","deserci_n_transici_n","deserci_n_primaria","deserci_n_secundaria","deserci_n_media","aprobaci_n","aprobaci_n_transici_n","aprobaci_n_primaria","aprobaci_n_secundaria","aprobaci_n_media","reprobaci_n","reprobaci_n_transici_n","reprobaci_n_primaria","reprobaci_n_secundaria","reprobaci_n_media","repitencia","repitencia_transici_n","repitencia_primaria","repitencia_secundaria","repitencia_media"
"2023","08296","Galapa","08","Atlántico","3764","Atlántico (ETC)","14884","77.12","77.02","54.64","75.9","65.73","42.74","82.19","72.24","87.14","83.95","70.57",,,"3.39","6.07","3.65","3.23","1.62","88.05","0","90.96","82.36","91.16","8.56","0","5.39","14.41","7.22","7","3.32","8.26","7.79","2.36"
"2023","08372","Juan de Acosta","08","Atlántico","3764","Atlántico (ETC)","4546","85.55","85.42","76.13","84.99","66.64","44.73","90.56","98.14","100.89","85.8","70.09",,,"2.65","2.99","2.89","2.12","3.03","95.87","0","95.47","95.84","96.57","1.49","0","1.63","2.04","0.4","7.96","4.1","9.55","7.22","6.87"
"2023","08421","Luruaco","08","Atlántico","3764","Atlántico (ETC)","6789","81.87","81.85","69.93","79.53","66.55","44.44","89.94","91.08","94.29","87.39","82.96",,,"2.04","3.78","1.59","2.48","1.27","90.92","0","92.37","87.18","91.82","7.04","0","6.03","10.34","6.91","8.03","1.79","10.63","8.28","2.12"
"2023","08433","Malambo","08","Atlántico","3960","Malambo","31027","89.79","89.37","53.3","86.14","74.12","49.38","97.67","82.35","104.67","97.7","87.3",,,"2.64","4.52","3.27","2.06","1.3","93.53","0","93.43","92.53","96.02","3.83","0","3.3","5.41","2.69","6.23","4.52","7.56","6.18","2.12"
"2023","08436","Manatí","08","Atlántico","3764","Atlántico (ETC)","5210","77.29","77.29","68.54","73.77","60.56","37.05","87.24","101.35","89.24","81.69","85.71",,,"3.76","3.1","2.86","5.52","3.03","92.35","0","92.41","89.68","95.27","3.89","0","4.72","4.8","1.7","8","9.98","10","7.09","1.14"
"2023","08520","Palmar de Varela","08","Atlántico","3764","Atlántico (ETC)","6406","90.34","90.31","65.73","88.26","76.55","56.15","95.83","83.52","105.02","93.36","83.27",,,"1.9","3.45","2.42","1.56","0.38","89.85","0","89.65","87.18","93.98","8.25","0","7.93","11.26","5.65","6.56","3.45","9.14","5.42","2.38"
"2023","08549","Piojó","08","Atlántico","3764","Atlántico (ETC)","1375","63.05","63.05","56.41","59.38","60.36","29.39","66.62","76.07","69.19","72.61","43.42",,,"2.61","0","2.9","3.07","2.02","92.52","0","93.14","89.57","93.94","4.88","0","3.96","7.36","4.04","10.32","7.69","11.08","11.04","7.07"
"2023","08558","Polonuevo","08","Atlántico","3764","Atlántico (ETC)","4246","70.3","70.21","61.89","65.85","57","42.82","77.01","84.15","80.25","76.57","66.62",,,"1.69","4.05","1.18","1.71","2.04","90.02","0","89.47","87.3","95.24","8.29","0","9.35","11","2.72","7.9","4.05","8.69","10.05","2.27"
"2023","08560","Ponedera","08","Atlántico","3764","Atlántico (ETC)","5889","78.45","78.45","71.06","76.82","58.17","32.73","84.41","93.81","94.86","81.49","57.46",,,"4.36","5.21","3.88","5.24","3.08","86.54","0","86.86","81.99","92.12","9.11","0","9.26","12.77","4.81","11.93","3.79","14.07","12.58","7.31"
"2023","08573","Puerto Colombia","08","Atlántico","3764","Atlántico (ETC)","10200","155.14","149.61","55.98","137.64","132.35","80.81","159.97","137.8","166.15","169.69","136.06",,,"2.52","4.87","3.55","1.66","0.82","88.53","0","88.95","85.25","93.12","8.96","0","7.5","13.08","6.06","8.63","2.29","12.1","8.09","2.68"
"2023","08606","Repelón","08","Atlántico","3764","Atlántico (ETC)","6364","83.96","83.96","73.85","82.22","64.89","36.81","92.38","95.04","100.33","93.51","67.87",,,"1.38","0.8","1.01","1.84","2.09","90.18","0","89.56","88.53","90.51","8.44","0","9.43","9.63","7.4","10.92","2.61","12.86","11.9","6.27"
"2023","08634","Sabanagrande","08","Atlántico","3764","Atlántico (ETC)","7462","92.31","92.25","74.6","92.71","77.43","54.53","97.88","98.22","106.94","93.26","83.84",,,"1.92","2.43","1.97","2.03","1.16","90.09","1.01","89.51","88.56","92.35","7.99","1.01","8.51","9.41","6.49","5.58","5.07","6.93","5.4","1.5"
"2023","08638","Sabanalarga","08","Atlántico","3764","Atlántico (ETC)","21481","93.64","93.54","62.87","89.98","80.27","55.28","100.13","92","105.68","101.16","87.45",,,"3.09","3.97","3.14","3.4","1.57","91.18","0","90.53","89.48","94.91","5.74","0","6.32","7.11","3.52","7.44","2.24","10.52","6.38","2.52"
"2023","08675","Santa Lucía","08","Atlántico","3764","Atlántico (ETC)","4163","60.8","60.8","48.82","61.68","40.63","23.2","68.7","63.91","75.95","66.31","57.42",,,"2.14","0.46","1.21","3.4","4.12","85.35","1.85","88.39","78.34","82.77","12.5","1.85","10.41","18.27","13.11","17.46","6.02","16.67","23.42","11.61"
"2023","08685","Santo Tomás","08","Atlántico","3764","Atlántico (ETC)","6246","67.36","67.13","50.69","69.05","51.34","33.08","72.53","72.19","83.99","67.83","53.67",,,"4.18","3.5","3.87","5.51","1.96","88.67","0","85.49","88.7","95.48","7.15","0","10.64","5.8","2.55","9.57","8.17","14.05","7.61","0.39"
"2023","08758","Soledad","08","Atlántico","3765","Soledad","136557","92.4","92.09","63.82","89.1","75.3","58.77","104.43","92.88","104.68","96.73","125.2",,,"2.75","3.33","2.64","2.97","2.14","92.4","1.3","93.83","89.31","93.99","4.85","1.3","3.54","7.72","3.87","5.88","9.25","5.7","6.57","2.24"
"2023","08770","Suan","08","Atlántico","3764","Atlántico (ETC)","2885","82.18","82.18","60.4","74.74","65.25","41.89","93.83","80","94.49","97.35","92.32",,,"0.73","0.5","1.05","0.6","0","89.48","0","89.76","85.52","92.88","9.78","0","9.19","13.87","7.12","8.07","3","13.3","4.58","0.71"
